COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Sao Tome and Principe,STP,AFRO,REPORTING,2021-04-26,12367,12367,5.643,5.643,"AstraZeneca - AZD1222,SII - Covishield",2021-03-15,2
Palau,PLW,WPRO,REPORTING,2021-03-28,13334,8353,73.701,46.17,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-01-03,2
Jamaica,JAM,AMRO,REPORTING,2021-04-23,135725,135725,4.583,4.583,"AstraZeneca - AZD1222,SII - Covishield",2021-03-10,2
Seychelles,SYC,AFRO,REPORTING,2021-04-26,66433,66433,67.55,67.55,"Beijing CNBG - Inactivated,SII - Covishield",2021-01-10,2
Marshall Islands,MHL,WPRO,REPORTING,2021-03-28,19871,12381,33.569,20.916,Pfizer BioNTech - Comirnaty,2021-01-13,1
Andorra,AND,EURO,OWID,2021-04-19,19064,,24.7,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Eswatini,SWZ,AFRO,REPORTING,2021-04-26,33279,33279,2.868,2.868,SII - Covishield,2021-03-19,1
Indonesia,IDN,SEARO,REPORTING,2021-04-20,17275001,11116253,6.316,4.064,"AstraZeneca - AZD1222,Sinovac - CoronaVac",2021-01-13,2
Mauritius,MUS,AFRO,REPORTING,2021-04-26,197646,197646,15.541,15.541,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-01-26,3
Faroe Islands,FRO,EURO,OWID,2021-04-24,17280,11751,35.363,24.048,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
French Polynesia,PYF,WPRO,REPORTING,2021-04-20,48783,31825,17.366,11.329,Pfizer BioNTech - Comirnaty,2021-01-18,1
Bosnia and Herzegovina,BIH,EURO,OWID,2021-04-09,15000,,0.5,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Djibouti,DJI,EMRO,REPORTING,2021-04-21,11343,,1.148,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-03-15,3
Benin,BEN,AFRO,REPORTING,2021-04-26,5284,5284,0.044,0.044,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2
American Samoa,ASM,WPRO,REPORTING,2021-04-18,35972,20248,65.17,36.683,Pfizer BioNTech - Comirnaty,2020-12-21,1
Sierra Leone,SLE,AFRO,REPORTING,2021-04-26,48614,48614,0.609,0.609,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-15,2
Kenya,KEN,AFRO,REPORTING,2021-04-26,827144,827144,1.538,1.538,SII - Covishield,2021-03-05,1
Bhutan,BTN,SEARO,REPORTING,2021-04-19,478829,478829,62.056,62.056,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,2
Liberia,LBR,AFRO,REPORTING,2021-04-26,6527,6527,0.129,0.129,SII - Covishield,2021-04-01,1
Wallis and Futuna,WLF,WPRO,REPORTING,2021-04-19,4019,4019,35.737,35.737,Moderna - mRNA-1273,2021-03-19,1
Ireland,IRL,EURO,REPORTING,2021-04-18,1206611,853666,24.3,17.196,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
United Arab Emirates,ARE,EMRO,OWID,2021-04-23,10194266,,103.072,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5
Canada,CAN,AMRO,REPORTING,2021-04-23,11391798,9432492,30.183,24.992,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,3
Botswana,BWA,AFRO,REPORTING,2021-04-26,46158,46158,1.963,1.963,SII - Covishield,2021-03-26,1
Algeria,DZA,AFRO,REPORTING,2021-04-26,,,,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3
Serbia,SRB,EURO,REPORTING,2021-04-18,2850561,1691466,41.2,24.419,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2020-12-23,4
Honduras,HND,AMRO,REPORTING,2021-04-23,61388,58626,0.62,0.592,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-02-26,4
Guatemala,GTM,AMRO,REPORTING,2021-04-23,162110,160282,0.905,0.895,"AstraZeneca - AZD1222,Moderna - mRNA-1273,SII - Covishield",2021-02-25,3
Russian Federation,RUS,EURO,OWID,2021-04-25,16167151,10019885,11.1,6.866,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2
Yemen,YEM,EMRO,REPORTING,2021-04-20,0,0,0.001,0.001,SII - Covishield,2021-04-20,1
Brunei Darussalam,BRN,WPRO,REPORTING,2021-03-20,2323,2323,0.531,0.531,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-03,5
Nicaragua,NIC,AMRO,REPORTING,2021-04-23,111190,111190,1.678,1.678,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2
Gambia,GMB,AFRO,REPORTING,2021-04-26,20922,20922,0.866,0.866,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-10,2
